date,nplr,kibor,discrate,lendrate,exrate,gdp,crudeoil,gexp,lsm,cpi,psx
3/1/2005,11.63,6.08,7.50,6.47,59.39,7.48,50.03,4.38,198.10,75.71,7.77
6/1/2005,10.49,8.25,9.00,7.55,59.55,7.48,53.22,-0.71,172.84,77.74,7.45
9/1/2005,10.85,8.58,9.00,9.18,59.69,8.96,63.31,-0.30,175.34,79.08,8.23
12/1/2005,9.21,8.76,9.00,9.68,59.77,8.96,60.05,4.36,198.19,80.43,9.56
3/1/2006,9.38,9.13,9.00,10.02,59.93,8.96,63.48,2.56,219.22,81.69,11.49
6/1/2006,10.11,9.20,9.00,10.14,60.10,8.96,70.72,-0.33,208.81,83.16,9.99
9/1/2006,9.59,10.06,9.50,10.63,60.38,5.82,70.54,-2.43,187.87,85.75,10.51
12/1/2006,8.66,10.42,9.50,11.08,60.76,5.82,60.17,2.67,203.32,87.15,10.04
3/1/2007,8.98,10.03,9.50,10.57,60.77,5.82,58.23,2.86,238.24,87.60,11.27
6/1/2007,9.98,9.59,9.50,10.49,60.66,5.82,65.02,1.60,220.96,89.07,13.77
9/1/2007,10.22,9.71,10.00,10.46,60.52,5.54,75.15,-2.64,202.21,91.81,13.35
12/1/2007,9.07,9.92,10.00,10.88,60.97,5.54,90.50,0.48,195.29,94.92,14.08
3/1/2008,9.06,10.14,10.50,10.83,62.61,5.54,97.82,7.03,247.17,98.48,15.13
6/1/2008,8.74,13.88,12.00,11.66,66.27,5.54,123.80,2.61,212.95,106.30,12.29
9/1/2008,9.41,14.49,13.00,13.57,74.20,4.99,118.22,-0.48,188.98,55.91,9.18
12/1/2008,10.29,15.52,15.00,14.86,79.97,4.99,59.08,-7.87,191.44,57.15,5.87
3/1/2009,11.52,12.77,15.00,14.82,79.77,4.99,43.31,1.01,198.60,57.73,6.86
6/1/2009,11.23,12.77,14.00,14.34,80.79,4.99,59.79,7.91,203.23,58.86,7.16
9/1/2009,11.44,12.60,13.00,13.83,82.68,0.36,68.24,-3.40,183.40,60.84,9.35
12/1/2009,11.10,12.35,12.50,13.78,83.66,0.36,76.13,0.78,204.72,62.03,9.39
3/1/2010,12.09,12.34,12.50,13.48,84.65,0.36,78.88,5.22,222.52,64.03,10.18
6/1/2010,11.92,12.29,12.50,13.26,84.60,0.36,78.05,-1.12,213.67,65.96,9.72
9/1/2010,12.27,12.78,13.50,13.26,85.73,2.58,76.21,0.38,184.11,68.97,10.01
12/1/2010,12.02,13.46,14.00,13.85,85.79,2.58,85.23,4.96,117.36,71.49,12.02
3/1/2011,13.36,13.52,14.00,14.22,85.52,2.58,94.60,6.22,128.94,72.52,11.81
6/1/2011,13.52,13.53,14.00,14.28,85.29,2.58,102.34,3.26,108.04,74.43,12.50
9/1/2011,14.43,13.20,13.50,14.37,86.78,3.62,89.54,-5.32,99.78,76.88,11.76
12/1/2011,14.05,11.98,12.00,13.59,87.85,3.62,94.06,2.87,118.28,78.85,11.35
3/1/2012,14.18,11.91,12.00,13.04,90.60,3.62,103.03,1.53,127.45,80.24,13.76
6/1/2012,14.06,11.99,12.00,12.97,92.14,3.62,93.35,-1.39,107.59,83.06,13.80
9/1/2012,14.63,10.20,10.50,12.54,94.53,3.84,92.20,0.83,102.29,83.91,15.44
